"sender_id","receiver_id","sending_date"
141,862,1778-03-24
141,847,1778-03-24
111,42,1778-03-27
141,845,1778-03-29
69,654,1778-03-30
100,16,1778-04-03
141,903,1778-04-04
141,25,1778-04-07
144,48,1778-04-09
100,880,1778-04-09
141,80,1778-04-09
177,263,1778-04-13
141,21,1778-04-14
104,584,1778-04-14
176,399,1778-04-15
141,9,1778-04-15
142,403,1778-04-16
143,909,1778-04-16
141,843,1778-04-18
142,13,1778-04-18
100,255,1778-04-18
37,435,1778-04-20
172,435,1778-04-20
141,57,1778-04-20
37,435,1778-04-21
33,436,1778-04-21
141,862,1778-04-22
25,141,1778-04-24
141,765,1778-04-24
141,21,1778-04-24
144,48,1778-04-25
124,738,1778-04-25
104,190,1778-04-25
178,238,1778-04-26
141,21,1778-04-27
144,141,1778-04-28
141,845,1778-04-28
141,913,1778-04-28
100,9,1778-04-28
144,48,1778-04-29
144,914,1778-04-29
142,7,1778-04-29
143,20,1778-04-29
141,917,1778-05-01
141,918,1778-05-01
141,829,1778-05-01
141,919,1778-05-01
179,920,1778-05-01
141,921,1778-05-02
141,918,1778-05-02
176,877,1778-05-03
37,435,1778-05-03
124,521,1778-05-03
141,282,1778-05-03
142,267,1778-05-03
143,102,1778-05-03
171,789,1778-05-03
33,436,1778-05-03
141,269,1778-05-04
17,532,1778-05-04
144,48,1778-05-05
141,847,1778-05-05
141,845,1778-05-05
141,166,1778-05-05
141,21,1778-05-05
141,80,1778-05-06
141,57,1778-05-08
141,252,1778-05-08
141,54,1778-05-08
104,584,1778-05-09
171,850,1778-05-10
141,845,1778-05-11
17,267,1778-05-12
17,7,1778-05-13
160,278,1778-05-14
160,412,1778-05-14
142,7,1778-05-15
33,436,1778-05-15
141,661,1778-05-16
142,7,1778-05-16
141,918,1778-05-17
17,267,1778-05-19
111,443,1778-05-26
143,21,1778-05-27
182,267,1778-05-28
124,934,1778-05-30
124,110,1778-05-31
141,845,1778-05-31
100,9,1778-05-31
141,918,1778-06-01
103,239,1778-06-03
141,269,1778-06-03
100,936,1778-06-05
100,664,1778-06-09
141,720,1778-06-10
141,48,1778-06-11
141,433,1778-06-13
174,939,1778-06-13
141,939,1778-06-14
174,141,1778-06-15
17,2,1778-06-16
73,63,1778-06-17
141,940,1778-06-17
141,433,1778-06-17
141,845,1778-06-17
100,880,1778-06-17
100,9,1778-06-17
141,21,1778-06-18
142,433,1778-06-18
176,941,1778-06-19
176,941,1778-06-19
141,9,1778-06-20
17,7,1778-06-20
143,940,1778-06-20
141,918,1778-06-23
17,2,1778-06-23
186,426,1778-06-26
13,690,1778-07-03
17,76,1778-07-05
108,48,1778-07-05
178,238,1778-07-07
24,422,1778-07-09
186,159,1778-07-10
186,426,1778-07-10
141,21,1778-07-10
174,524,1778-07-10
73,425,1778-07-11
17,76,1778-07-12
73,63,1778-07-13
179,767,1778-07-13
153,946,1778-07-14
13,443,1778-07-15
141,918,1778-07-15
188,947,1778-07-16
189,170,1778-07-16
174,948,1778-07-19
13,443,1778-07-20
73,425,1778-07-20
73,110,1778-07-20
17,2,1778-07-20
153,934,1778-07-20
153,949,1778-07-20
143,951,1778-07-21
70,57,1778-07-21
108,48,1778-07-21
141,906,1778-07-22
150,811,1778-07-23
143,952,1778-07-23
141,954,1778-07-30
141,21,1778-07-31
153,934,1778-08-03
141,918,1778-08-07
17,2,1778-08-10
186,422,1778-08-11
141,918,1778-08-11
153,958,1778-08-11
174,960,1778-08-12
186,197,1778-08-16
141,5,1778-08-16
190,587,1778-08-17
143,102,1778-08-17
73,110,1778-08-18
141,918,1778-08-18
156,48,1778-08-27
141,921,1778-08-27
194,57,1778-08-28
190,433,1778-08-29
190,104,1778-08-29
24,422,1778-08-29
178,238,1778-08-30
190,587,1778-08-31
186,422,1778-08-31
143,57,1778-09-02
13,608,1778-09-03
127,154,1778-09-03
