Id,Names,Nationality/State,Position held,Occupation,Year born,Year deceased,Gender,Other memberships,URL References
120,"McDougall, Alexander",New York,Delegate Continental Congress; General; United States Secretary of Marine,Statesman; Politician; Military; Pamphleteer; Banker; Merchant,1732,1786,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55450.xml
121,"Hartley, David",Great Britain,Peace Commissioner; Member of Parliament,Diplomat; Politician,1732,1813,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53155.xml
123,"Pickering, Timothy",Massachusetts,Quartermaster general; Board of War; Militia Colonel; General,Military; Attorney at Law; Militia,1745,1829,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56822.xml
124,"Carmichael, William",Maryland,Delegate Continental Congress; Agent in France; Envoy to Prussia,Politician; Diplomat,1739,1795,M,American Philosophical Society,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50098.xml
125,"Carrington, Edward",Virginia,Lieutenant Colonel,Military,1748,1810,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50120.xml
130,"Woodford, William",Virginia,General,Military; Planter; Militia,1734,1780,M,Freemasons,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=60224.xml
132,"Cadwalader, John",Pennsylvania,State Representative; Militia General,Military; Merchant; Pamphleteer; Militia,1742,1786,M,American Philosophical Society,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=49940.xml & https://search.amphilsoc.org/memhist/search?creator=Cadwalader%2C+John&title=&subject=&subdiv=&mem=&year=&year-max=&dead=&keyword=&smode=advanced
133,"Lee, Thomas Sim",Maryland,State President/Governor; Delegate Continental Congress,Statesman,1745,1819,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54592.xml
134,"Humphreys, David",Connecticut,Lieutenant Colonel; Aide-de-camp; Militia Major,Military; Militia,1752,1818,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53718.xml
135,"St. Clair, Arthur",Pennsylvania,General,Military,1737,1818,M,Society of the Cincinnati,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58447.xml
136,"Lincoln, Benjamin",Massachusetts,Militia General; State Representative; United States Secretary of War; General,Military; Statesman; Militia,1733,1810,M,American Academy of Arts and Sciences; Society of the Cincinnati; Freemasons,https://docs.google.com/spreadsheets/d/1KJ1atid2DB5ZS-iWCxMkGCCdY8F1xb6BP-lKzoIVRgo/edit#gid=556612566
137,"Brodhead, Daniel",Pennsylvania,Deputy surveyor general; Colonel,Military; Surveyor,1736,1809,M, ,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=49607.xml
138,"Harrison, Robert Hanson",Virginia,Lieutenant Colonel,Military; Attorney at Law; Justice; Secretary,1745,1790,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53139.xml
139,"McHenry, James",Maryland,State Representative,Politician; Physician; Secretary,1753,1816,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55474.xml
141,"Innes, James",Virginia,State Representative; Lieutenant Colonel,Military; Politician; Militia,1754,1798,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=53845.xml
142,"Clark, George Rogers",Virginia,Militia General,Military; Militia,1752,1818,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=50463.xml
143,"Muter, George",Virginia,State Commissioner of the War Office,Military,1730,1811,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=56087.xml
145,"La Luzerne, Anne-César, chevalier de",France,Minister to the United States,Diplomat,1741,1791,M,American Philosophical Society; American Academy of Arts and Sciences,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54374.xml
147,"Varick, Richard",New York,Colonel; Aide-de-camp,Military; Attorney at Law; Secretary ,1753,1831,M,Society of the Cincinnati,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59358.xml
149,"Mazzei, Philip",Tuscany,Agent in Italy; Agent in France,Agent; Merchant; Writer; Physician,1730,1816,M,,https://www.britannica.com/biography/Philip-Mazzei & https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=55377.xml
150,"Weedon, George",Virginia,General,Military; Tavern Keeper,1734,1793,M,Freemasons,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59785.xml
151,"Skinner, Abraham",Pennsylvania ,Commissary general of prisoners; Colonel,Military,1755,1826,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=58107.xml
152,"Webb, Samuel Blachley",Connecticut,Aide-de-camp; Colonel,Military; Secretary,1753,1807,M,Society of the Cincinnati,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=59773.xml
153,"Dickinson, John",Delaware; Pennsylvania,State President/Governor; Delegate Continental Congress; Military other; Committee of Secret Correspondence,Statesman; Politician; Attorney at Law,1732,1808,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=51372.xml
154,"Bingham, William",Pennsylvania,Agent in Martinique,Merchant; Agent; Diplomat; Banker,1752,1804,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=49175.xml
156,"Johnson, Thomas",Maryland,State President/Governor; Delegate Continental Congress; Military other; Committee of Secret Correspondence,Statesman; Attorney at Law,1732,1819,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54035.xml
159,"La Rochefoucauld, Louis-Alexandre, duc de La Roche-Guyon et de",France,,Chemist; Agent,1743,1792,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=54434.xml & https://www.founders.archives.gov/?q=La%20Rochefoucauld%2C%20Louis-Alexandre%2C%20duc%20de%20La%20Roche-Guyon%20et%20de%20Author%3A%22La%20Rochefoucauld%2C%20Louis-Alexandre%2C%20duc%20de%20La%20Roche-Guyon%20et%20de%22&s=1111311111&r=1&sr= 
160,"Grand, Rodolphe-Ferdinand",France,Agent in France,Agent; Banker,1726,1794,M,,https://pfe.rotunda.upress.virginia.edu/v1/documents?uri=52669.xml
